Fall_2009,Fall_2010,Fall_2011,Fall_2012,Fall_2013,Fall_2014,Fall_2015,Fall_2016,Fall_2017,Fall_2018,Fall_2019,Fall_2020,Sex
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,1,1,1,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,1,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,NA
1,1,0,0,0,0,0,0,0,0,0,0,0
